('Net Income', '125,216,000', '101,832,000', '88,136,000', '72,361,000', '72,738,000')
         2927509 function calls (2896612 primitive calls) in 38.077 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      129    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
       33    0.000    0.000    0.001    0.000 typing.py:1047(_generic_class_getitem)
        1    0.000    0.000   37.304   37.304 financial.py:99(get_financial_data)
      418    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
    55/51    0.000    0.000    0.392    0.008 _connection.py:544(wrap_api_call)
      188    0.000    0.000    0.002    0.000 _htmlparser.py:269(handle_comment)
      500    0.000    0.000    0.474    0.001 linecache.py:36(getlines)
        1    0.000    0.000    0.047    0.047 dammit.py:1(<module>)
        2    0.000    0.000    0.100    0.050 api.py:1(<module>)
      397    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      314    0.000    0.000    0.000    0.000 types.py:192(__init__)
      178    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
     1141    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      148    0.000    0.000    0.001    0.000 asyncio.py:46(emit)
      453    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      504    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      276    0.000    0.000    0.005    0.000 response.py:619(_decode)
      500    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
