Ingredient,Total Fat (% DV),Saturated Fat (% DV),Cholesterol (% DV),Total Carbohydrate (% DV),Dietary Fiber (% DV),Sodium (% DV),Protein (% DV),Added Sugars (% DV),Vitamin D (% DV),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Vitamin E (% DV),Vitamin K (% DV),Thiamin (% DV),Riboflavin (% DV),Niacin (% DV),Vitamin B6 (% DV),Folate (% DV),Vitamin B12 (% DV),Biotin (% DV),Pantothenic acid (% DV),Phosphorus (% DV),Iodine (% DV),Magnesium (% DV),Zinc (% DV),Selenium (% DV),Copper (% DV),Manganese (% DV),Chromium (% DV),Molybdenum (% DV),Chloride (% DV),Potassium (% DV),Choline (% DV)
tea,0.0,0.0,0.0,0.9,2.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tequila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0
tilapia,17.3,0.0,14.7,4.3,1.8,16.7,34.4,0.0,12.0,0.3,0.0,1.7,7.3,17.0,10.8,14.3,9.2,25.0,7.2,10.2,45.8,0.0,0.0,12.2,0.0,6.0,3.6,63.5,9.3,0.0,0.0,0.0,0.0,5.4,7.1
tofu,7.5,0.0,0.0,0.4,0.0,0.5,18.8,0.0,0.0,0.0,0.0,9.1,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
tomatillo,1.3,0.0,0.0,2.1,6.8,0.0,1.9,0.0,0.0,0.7,13.0,0.5,3.4,2.5,8.4,3.7,2.7,11.6,3.3,1.8,0.0,0.0,3.0,3.1,0.0,4.8,2.0,0.9,8.8,6.7,0.0,0.0,0.0,5.7,1.4
tomato,0.4,0.0,0.0,1.5,4.3,0.2,1.6,0.0,0.0,3.6,18.1,0.8,1.2,3.9,6.2,3.8,1.4,3.7,4.6,3.2,0.0,0.0,0.0,1.8,0.0,2.4,1.4,0.0,5.7,0.0,0.0,0.0,0.0,4.8,1.3
tortillas,11.2,0.0,0.0,17.2,18.9,23.7,17.5,0.0,0.0,0.0,0.0,2.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tree nut,2.2,0.0,0.0,28.9,53.2,2.3,17.2,0.0,0.0,1.2,51.8,7.2,25.6,0.0,0.0,2.5,10.8,13.1,40.3,28.2,0.0,0.0,37.6,14.2,0.0,27.4,17.4,3.5,273.3,13.2,0.0,0.0,0.0,42.8,0.0
triple sec,0.0,0.0,0.0,9.7,0.0,0.7,0.0,53.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tropical fruit,0.2,0.0,0.0,4.4,4.6,0.0,0.6,0.0,0.0,0.4,17.7,0.0,0.0,0.7,0.7,1.6,2.1,0.9,2.3,0.5,0.0,0.0,1.5,0.9,0.0,1.2,0.5,0.0,3.9,1.7,0.0,0.0,0.0,3.0,0.7
